670	750	690	710	790
660	730	700	690	810
690	700	660	670	800
710	700	660	630	820
740	720	700	650	770
730	740	700	680	760
730	710	730	700	760
690	720	730	690	730
690	710	720	710	760
730	740	710	730	710
760	740	720	720	740
740	740	730	710	760
790	790	760	730	810
810	780	790	760	820
880	770	820	740	790
820	780	800	800	850
780	750	830	770	840
790	710	780	740	780
790	720	810	700	780
770	770	850	660	740
830	780	810	630	810
790	770	840	620	780
820	750	850	600	850
910	690	790	580	940
860	710	780	600	780
910	750	840	640	820
890	720	820	700	750
900	750	820	650	690
900	790	790	640	640
770	790	810	660	650
730	760	770	680	640
780	800	830	650	660
840	820	840	660	670
800	800	820	660	710
890	800	870	640	760
910	780	870	650	850
890	760	830	670	870
920	790	890	680	750
840	790	860	690	700
840	780	830	700	370
880	800	830	690	640
830	810	790	690	620
890	770	790	700	640
980	760	820	710	630
910	790	810	680	640
1000	840	790	700	680
940	830	810	720	680
940	780	800	720	680
920	780	820	710	690
820	770	850	770	680
810	780	820	750	650
840	810	830	720	680
800	860	830	750	700
860	880	830	760	780
980	880	850	750	750
1010	880	810	760	740
960	860	830	730	800
1010	850	810	740	800
990	780	790	790	760
990	730	830	800	760
940	760	800	770	760
870	790	780	780	790
880	800	830	790	810
830	780	870	760	850
810	800	800	760	870
860	800	800	810	890
920	740	760	810	900
910	690	680	810	890
950	650	750	850	800
890	660	760	870	750
910	740	810	850	800
910	750	860	830	800
840	740	840	790	880
880	780	780	830	870
880	810	850	810	860
820	770	850	760	870
880	760	800	780	870
860	750	840	780	900
850	740	830	770	870
870	720	780	780	840
810	740	830	780	860
810	720	850	780	920
890	760	840	790	930
900	850	840	820	880
910	890	860	870	880
910	840	810	840	900
840	880	850	850	820
860	890	820	850	820
840	890	800	780	870
800	910	800	780	860
850	870	820	760	840
900	870	830	730	870
870	840	860	740	860
920	770	830	770	870
870	780	810	730	880
890	800	840	710	850
920	770	820	670	820
870	800	830	690	710
900	780	840	780	720
900	770	810	820	700
860	820	830	860	750
870	860	880	840	810
820	850	890	820	740
800	870	870	840	750
860	820	860	750	800
900	800	800	690	820
890	820	790	650	770
860	800	830	650	780
930	810	830	670	810
940	820	790	740	740
900	840	850	760	740
920	830	860	780	750
870	820	840	820	720
830	840	870	790	750
840	800	900	840	800
870	800	810	770	790
840	790	840	740	840
870	800	860	720	880
880	750	800	710	830
840	750	760	740	860
880	760	810	810	870
900	780	830	790	820
890	770	810	790	830
940	780	840	820	840
